lncRNA transcript id (ENSEMBL)	viral miRNA name	Target sites
ENST00000483840.1	ebv-miR-BART1-5p	1	
ENST00000570269.1	ebv-miR-BART12	1	
ENST00000563286.1	ebv-miR-BART11-5p	2	
ENST00000461287.1	ebv-miR-BART1-5p	1	
ENST00000431043.1	ebv-miR-BART21-3p	1	
ENST00000540904.1	ebv-miR-BART10-5p	1	
ENST00000554360.1	ebv-miR-BART15	1	
ENST00000588040.1	ebv-miR-BART9-3p	1	
ENST00000588040.1	ebv-miR-BART12	1	
ENST00000421562.1	ebv-miR-BART11-5p	1	
ENST00000423402.1	ebv-miR-BART12	1	
ENST00000480258.1	ebv-miR-BART21-3p	5	
ENST00000429901.1	ebv-miR-BART22	1	
ENST00000429901.1	ebv-miR-BART10-3p	1	
ENST00000561349.1	ebv-miR-BART16	1
ENST00000344686.2	ebv-miR-BART19-3p	2	
ENST00000592032.1	ebv-miR-BART20-5p	1	
ENST00000455236.1	ebv-miR-BART16	3	
ENST00000414209.1	ebv-miR-BART22	1	
ENST00000480258.1	ebv-miR-BART21-3p	4	
ENST00000501173.2	ebv-miR-BART16	2	
ENST00000501173.2	ebv-miR-BART18-3p	1	
ENST00000522718.1	ebv-miR-BART16	2	
ENST00000519738.1	ebv-miR-BART16	2	
ENST00000534948.1	ebv-miR-BART20-5p	1
ENST00000554360.1	ebv-miR-BART4-5p	3	
ENST00000554360.1	ebv-miR-BART12	6
ENST00000554360.1	ebv-miR-BART21-3p	5	
ENST00000565493.1	ebv-miR-BART10-5p	2	
ENST00000437681.1	ebv-miR-BART15	2	
ENST00000433081.1	ebv-miR-BART7-3p	2
ENST00000424148.1	ebv-miR-BART22	1	
ENST00000561746.1	ebv-miR-BART17-3p	6
ENST00000457177.1	ebv-miR-BART20-5p	2	
ENST00000586026.1	hcmv-miR-UL70-3p	1	
ENST00000437681.1	kshv-miR-K12-11-5p	4	
ENST00000473429.1	kshv-miR-K12-6-3p	1	
ENST00000566942.1	kshv-miR-K12-6-5p	1	
ENST00000430394.1	kshv-miR-K12-12-3p	5	
ENST00000539543.1	kshv-miR-K12-4-3p	1
ENST00000450451.1	kshv-miR-K12-12-3p	4	
ENST00000489705.1	kshv-miR-K12-2-5p	1	
ENST00000430694.1	kshv-miR-K12-12-3p	4
ENST00000430694.1	kshv-miR-K12-11-5p	2	
ENST00000559458.1	kshv-miR-K12-12-3p	1	
ENST00000412788.1	kshv-miR-K12-5-3p	1	
ENST00000412788.1	kshv-miR-K12-6-3p	6
ENST00000417089.1	kshv-miR-K12-5-3p	11	
ENST00000417089.1	kshv-miR-K12-8-5p	3	
ENST00000417089.1	kshv-miR-K12-10a-3p	1
ENST00000417089.1	kshv-miR-K12-5-5p	1
ENST00000417089.1	kshv-miR-K12-12-5p	1
ENST00000431095.1	kshv-miR-K12-3-5p	1
ENST00000547717.1	kshv-miR-K12-5-3p	3
ENST00000547717.1	kshv-miR-K12-11-5p	1
ENST00000548410.1	kshv-miR-K12-11-3p	4
ENST00000553119.1	kshv-miR-K12-12-3p	2
ENST00000558109.1	kshv-miR-K12-6-3p	3
ENST00000568314.1	kshv-miR-K12-5-3p	2	
ENST00000568314.1	kshv-miR-K12-1-3p	1	
ENST00000568314.1	kshv-miR-K12-11-3p	3
ENST00000568314.1	kshv-miR-K12-7-5p	1
ENST00000544386.1	kshv-miR-K12-3-5p	2
ENST00000568997.1	kshv-miR-K12-9-3p	1
ENST00000568997.1	kshv-miR-K12-11-3p	1
ENST00000561824.1	kshv-miR-K12-9-3p	1
ENST00000561824.1	kshv-miR-K12-11-3p	1
ENST00000567520.1	kshv-miR-K12-9-3p	1
ENST00000567520.1	kshv-miR-K12-11-3p	1	
ENST00000575471.1	kshv-miR-K12-11-5p	2
ENST00000481898.1	kshv-miR-K12-6-5p	3
ENST00000582911.1	kshv-miR-K12-6-5p	3
ENST00000472293.1	kshv-miR-K12-6-5p	3
ENST00000475953.1	kshv-miR-K12-6-5p	3
ENST00000483140.1	kshv-miR-K12-6-5p	3
ENST00000590284.1	kshv-miR-K12-7-5p	2
ENST00000591482.1	kshv-miR-K12-3-5p	6
ENST00000344686.2	kshv-miR-K12-5-5p	3
ENST00000592267.1	kshv-miR-K12-5-5p	3
ENST00000579126.1	kshv-miR-K12-6-3p	1
ENST00000592845.1	kshv-miR-K12-6-5p	1
ENST00000382189.2	kshv-miR-K12-6-5p	1
ENST00000590982.1	kshv-miR-K12-6-5p	1
ENST00000593198.1	kshv-miR-K12-6-5p	1
ENST00000524135.1	kshv-miR-K12-11-5p	1
ENST00000339066.7	kshv-miR-K12-11-5p	1
ENST00000581621.1	kshv-miR-K12-6-3p	6
ENST00000430394.1	kshv-miR-K12-12-3p	1
ENST00000450451.1	kshv-miR-K12-5-3p	1
ENST00000559458.1	kshv-miR-K12-6-5p	8
ENST00000520640.1	kshv-miR-K12-11-5p	1
ENST00000517303.1	kshv-miR-K12-11-5p	1
ENST00000535431.1	kshv-miR-K12-8-5p	1
ENST00000548410.1	kshv-miR-K12-12-3p	1
ENST00000574285.1	kshv-miR-K12-5-3p	1
ENST00000574285.1	kshv-miR-K12-12-3p	2
ENST00000568163.1	kshv-miR-K12-2-3p	4
ENST00000592845.1	kshv-miR-K12-6-5p	1
ENST00000382189.2	kshv-miR-K12-6-5p	1
ENST00000590982.1	kshv-miR-K12-6-5p	1
ENST00000512005.1	kshv-miR-K12-11-5p	1
ENST00000414209.1	kshv-miR-K12-2-5p	1
ENST00000415215.1	kshv-miR-K12-2-5p	1
ENST00000579777.1	kshv-miR-K12-6-3p	3
